Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,NewBid,1687745091.936782,1130,0,1
1,GetItem,1687745091.937916,580,0,1
1,GetItem,1687745091.938500,568,0,1
1,GetItem,1687745091.939070,601,0,1
7,NewItem,1687745091.939673,4662,0,1
3,NewBid,1687745091.944340,1086,0,1
2,GetUserInfo,1687745091.945431,593,0,1
3,NewBid,1687745091.946027,1110,0,1
9,UpdateItem,1687745091.947141,427,0,1
1,GetItem,1687745091.947572,587,0,1
1,GetItem,1687745091.948162,547,0,1
6,NewFeedback,1687745091.948712,886,0,1
1,GetItem,1687745091.949601,535,0,1
1,GetItem,1687745091.950138,554,0,1
2,GetUserInfo,1687745091.950694,375,0,1
1,GetItem,1687745091.951071,622,0,1
1,GetItem,1687745091.951696,587,0,1
2,GetUserInfo,1687745091.952285,370,0,1
2,GetUserInfo,1687745091.952657,361,0,1
1,GetItem,1687745091.953020,567,0,1
1,GetItem,1687745091.953589,551,0,1
3,NewBid,1687745091.954143,1143,0,1
7,NewItem,1687745091.955290,2119,0,1
1,GetItem,1687745091.957413,572,0,1
1,GetItem,1687745091.957989,653,0,1
1,GetItem,1687745091.958644,579,0,1
7,NewItem,1687745091.959226,1781,0,1
2,GetUserInfo,1687745091.961011,561,0,1
1,GetItem,1687745091.961575,593,0,1
8,NewPurchase,1687745091.962170,2,0,1
1,GetItem,1687745091.962174,559,0,1
7,NewItem,1687745091.962736,1749,0,1
